color,constituency,groups,id,party,partywon,pcid,states,vote_count_num,votecount,winner,winner_2014_bangali
#f49921,Guna,NDA,8,Bharatiya Janata Party,8,#PC198,Madhya Pradesh,614049,Won,Dr. K.P. Yadav,Jyotiraditya M Scindia (INC)
#f49921,Gwalior,NDA,8,Bharatiya Janata Party,8,#PC197,Madhya Pradesh,627250,Won,Shri Vivek Sejwalkar,Narendra Singh Tomar (BJP)
#f49921,Hoshangabad,NDA,8,Bharatiya Janata Party,8,#PC211,Madhya Pradesh,877927,Won,Shri Rao Udai Pratap Singh,Uday Pratap Singh (BJP)
#f49921,Indore,NDA,8,Bharatiya Janata Party,8,#PC220,Madhya Pradesh,1068569,Won,Sh. Shankar Lalwani,Sumitra Mahajan (Tai) (BJP)
#f49921,Jabalpur,NDA,8,Bharatiya Janata Party,8,#PC207,Madhya Pradesh,826454,Won,Shri Rakesh Singh,Rakesh Singh (BJP)
#f49921,Khajuraho,NDA,8,Bharatiya Janata Party,8,#PC202,Madhya Pradesh,811135,Won,Bishnu Datt Sharma,Nagendra Singh (BJP)
#f49921,Khandwa,NDA,8,Bharatiya Janata Party,8,#PC222,Madhya Pradesh,838909,Won,Shri Nand Kumar Singh Chouhan,Nandkumar Singh Chouhan (Nandu Bhaiya) (BJP)
#f49921,Khargone,NDA,8,Bharatiya Janata Party,8,#PC221,Madhya Pradesh,773550,Won,Shri Gajendra Patel,Subhash Patel (BJP)
#f49921,Mandla,NDA,8,Bharatiya Janata Party,8,#PC208,Madhya Pradesh,737266,Won,Shri Faggan Singh Kulaste,Faggan Singh Kulaste (BJP)
#f49921,Mandsour,NDA,8,Bharatiya Janata Party,8,#PC217,Madhya Pradesh,847786,Won,Shri Sudhir Gupta,Sudhir Gupta (BJP)
#f49921,Morena,NDA,8,Bharatiya Janata Party,8,#PC195,Madhya Pradesh,541689,Won,Shri Narendra Singh Tomar,Anoop Mishra (BJP)
#f49921,Rajgarh,NDA,8,Bharatiya Janata Party,8,#PC214,Madhya Pradesh,823824,Won,Shri Roadmal Nagar,Rodmal Nagar (BJP)
#f49921,Ratlam,NDA,8,Bharatiya Janata Party,8,#PC218,Madhya Pradesh,696103,Won,GS Damor,Dileepsingh Bhuria (BJP)
#f49921,Rewa,NDA,8,Bharatiya Janata Party,8,#PC204,Madhya Pradesh,583745,Won,Shri Janardan Mishra,Janardan Mishra (BJP)
#f49921,Sagar,NDA,8,Bharatiya Janata Party,8,#PC199,Madhya Pradesh,646231,Won,Shri Raj Bahadur Singh,Laxmi Narayan Yadav (BJP)
#f49921,Satna,NDA,8,Bharatiya Janata Party,8,#PC203,Madhya Pradesh,588753,Won,Shri Ganesh Singh,Ganesh Singh (BJP)
#f49921,Shahdol,NDA,8,Bharatiya Janata Party,8,#PC206,Madhya Pradesh,747977,Won,Smt. Himadri Singh,Dalpat Singh Paraste (BJP)
#f49921,Sidhi,NDA,8,Bharatiya Janata Party,8,#PC205,Madhya Pradesh,698342,Won,Smt. Riti Pathak,Riti Pathak (BJP)
#f49921,Tikamgarh,NDA,8,Bharatiya Janata Party,8,#PC200,Madhya Pradesh,672248,Won,Shri Virendra Kumar Khateek,Dr. Virendra Kumar (BJP)
#f49921,Ujjain,NDA,8,Bharatiya Janata Party,8,#PC216,Madhya Pradesh,791663,Won,Shri Anil Firojiya,Prof. Chintamani Malviya (BJP)
#f49921,Vidisha,NDA,8,Bharatiya Janata Party,8,#PC212,Madhya Pradesh,853022,Won,Shri Ramakant Bhargav,Sushma Swaraj (BJP)
#f49921,Latur,NDA,8,Bharatiya Janata Party,8,#PC264,Maharashtra,661495,Won,Shri Sudhakar Bhalerao Shrungare,Dr. Sunil Baliram Gaikwad (BJP)
#f49921,Madha,NDA,8,Bharatiya Janata Party,8,#PC266,Maharashtra,586314,Won,Shri Ranjeet Singh Hindurao Naik Nimbalkar,Mohite Patil Vijaysinh Shankarrao (NCP)
#ec653a,Maval,NDA,30,Shivsena,30,#PC256,Maharashtra,720663,Won,Shrirang Barne,Appa Alias Shrirang Chandu Barne (SHS)
#ec653a,Mumbai South,NDA,30,Shivsena,30,#PC254,Maharashtra,421937,Won,Arvind Sawant,Arvind Sawant (SHS)
#f49921,Mumbai North,NDA,8,Bharatiya Janata Party,8,#PC249,Maharashtra,706678,Won,Shri Gopal Chinayya Shetty,Gopal Chinayya Shetty (BJP)
#f49921,Mumbai North Central,NDA,8,Bharatiya Janata Party,8,#PC252,Maharashtra,486672,Won,Smt. Poonam Mahajan,Poonam Mahajan Alias Poonam Vajendla Rao (BJP)
#f49921,Mumbai North East,NDA,8,Bharatiya Janata Party,8,#PC251,Maharashtra,514599,Won,Shri Manoj Kotak,Kirit  Somaiya (BJP)
#ec653a,Mumbai North West,NDA,30,Shivsena,30,#PC250,Maharashtra,570063,Won,Gajanan Kirtikar,Gajanan Chandrakant Kirtikar (SHS)
#ec653a,Mumbai South Central,NDA,30,Shivsena,30,#PC253,Maharashtra,486672,Won,Rahul Shewale,Rahul Ramesh Shewale (SHS)
#f49921,Nagpur,NDA,8,Bharatiya Janata Party,8,#PC233,Maharashtra,660221,Won,Shri Nitin Jairam Gadkari,Gadkari Nitin Jairam (BJP)
#f49921,Nanded,NDA,8,Bharatiya Janata Party,8,#PC239,Maharashtra,486806,Won,Shri Pratap Patil Chikkalikar,Ashok Shankarrao Chavan (INC)
#f49921,Nandurbar,NDA,8,Bharatiya Janata Party,8,#PC224,Maharashtra,639136,Won,Dr. Heena Vijaykumar Gavit,Dr.Gavit Heena Vijaykumar (BJP)
#ec653a,Nashik,NDA,30,Shivsena,30,#PC244,Maharashtra,563599,Won,Hemant Godse,Godse Hemant Tukaram (SHS)
#ec653a,Osmanabad,NDA,30,Shivsena,30,#PC263,Maharashtra,596640,Won,omprakash bhupalsinh alias pawan rajenimbalkr,Gaikwad Ravindra Vishwanath (SHS)
#ec653a,Palghar,NDA,30,Shivsena,30,#PC245,Maharashtra,580479,Won,Rajendra dhedya gavit,Adv. Chintaman Navasha Wanga (BJP)
#ec653a,Parbhani,NDA,30,Shivsena,30,#PC240,Maharashtra,538941,Won,Sanjay Haribhau Jadhav,Jadhav Sanjay (Bandu) Haribhau (SHS)
#f49921,Pune,NDA,8,Bharatiya Janata Party,8,#PC257,Maharashtra,632835,Won,Shri Girish Bapat,Anil Shirole (BJP)
#3971b7,Raigad,UPA,24,Nationalist Congress Party,24,#PC255,Maharashtra,486968,Won,Sunil Tatkare,Anant Geete (SHS)
#ec653a,Ramtek,NDA,30,Shivsena,30,#PC232,Maharashtra,597126,Won,Krupal Balaji Tumane,Krupal Balaji Tumane (SHS)
#ec653a,Ratnagiri-Sindhudurg,NDA,30,Shivsena,30,#PC269,Maharashtra,458022,Won,Vinayak Raut,Vinayak Bhaurao Raut (SHS)
#f49921,Raver,NDA,8,Bharatiya Janata Party,8,#PC227,Maharashtra,655386,Won,Smt. Raksha Nikhil Khadse,Khadase Raksha Nikhil (BJP)
#f49921,Sangli,NDA,8,Bharatiya Janata Party,8,#PC267,Maharashtra,508995,Won,Sanjay Ramchandra Patil,Sanjaykaka Patil (BJP)
#3971b7,Satara,UPA,24,Nationalist Congress Party,24,#PC268,Maharashtra,579026,Won,Udayanraje Bhosale,Shrimant Chh.  Udayanraje Pratapsinha Bhonsale (NCP)
#ec653a,Shirdi,NDA,30,Shivsena,30,#PC261,Maharashtra,486820,Won,Sadashiv Lokhande,Lokhande Sadashiv Kisan (SHS)
#3971b7,Shirur,UPA,24,Nationalist Congress Party,24,#PC259,Maharashtra,635830,Won,Amol Kolhe,Adhalrao Shivaji Dattatrey (SHS)
#f49921,Solapur,NDA,8,Bharatiya Janata Party,8,#PC265,Maharashtra,524985,Won,Dr. Jaysidhesvar Swami,Sharad Bansode (BJP)
#3971b7,Thane,UPA,24,Nationalist Congress Party,24,#PC248,Maharashtra,328824,Won,Anand Paranjpe,Vichare Rajan Baburao (SHS)
#f49921,Wardha,NDA,8,Bharatiya Janata Party,8,#PC231,Maharashtra,578364,Won,Shri Ramdas Chandrabhanji Tadas,Ramdas Chandrabhanji Tadas (BJP)
#ec653a,Yavatmal-Washim,NDA,30,Shivsena,30,#PC237,Maharashtra,542098,Won,Bhawana Gawli,Gawali Bhavana Pundlikrao (SHS)
#f49921,Ahmednagar,NDA,8,Bharatiya Janata Party,8,#PC260,Maharashtra,704660,Won,Shri Sujay Vikhe Patil,Gandhi Dilipkumar Mansukhlal (BJP)
#f49921,Akola,NDA,8,Bharatiya Janata Party,8,#PC229,Maharashtra,554444,Won,Shri Sanjay Shamrao Dhotre,Dhotre Sanjay Shamrao (BJP)
